기업명,신용평점,신용등급(종속변수),유동비율,당좌비율,부채비율,영업이익이자보상비율,차입금/자기자본,차입금/매출액,총자산증가율,매출액증가율,순이익증가율,재고자산회전율,매출채권회전율,총자본회전율,총자본순이익율,매출액순이익율,자기자본순이익율
(주)하츠,3.0,0,507.3,456.6,20.0,14687.6,.4,.3,6.5,8.1,3.3,16.1,4.6,1.0,4.5,4.6,5.4
(주)와이지플러스,5.0,0,1239.0,1181.6,5.9,-12.6,2.1,4.5,6.2,373.5,3.5,26.8,10.3,.2,.8,3.6,.9
(주)매커스,4.0,0,176.1,158.7,80.4,31.4,2.6,1.9,3.6,-1.3,-36.7,10.7,5.3,.8,4.3,5.4,7.8
로체시스템즈(주),5.0,0,155.9,124.7,83.2,73.0,18.5,7.6,56.7,32.0,134.9,10.8,4.0,1.4,5.6,4.1,8.8
(주)브레인콘텐츠,6.0,1,84.3,84.3,31.7,84.1,13.6,36.6,629.4,34.8,-76.1,51.4,25.4,.3,.7,2.5,.9
한미사이언스(주),5.0,0,106.8,106.8,17.7,10.2,4.4,91.2,6.9,-79.5,-94.3,7.7,.5,.1,1.0,18.2,1.2
(주)대성파인텍,3.0,0,193.5,164.1,58.8,8.8,40.1,31.2,15.5,8.7,-2.0,8.0,3.5,.8,6.6,8.7,10.5
(주)세진중공업,6.0,1,68.3,18.4,131.3,3.1,110.7,43.7,-13.0,-5.7,-19.3,5.0,22.5,1.1,3.9,3.6,10.2
(주)퓨쳐스트림네트웍스,6.0,1,533.9,533.9,24.9,39.7,3.8,3.1,163.4,-3.7,-23.5,38.4,6.9,1.7,-37.5,-22.7,-45.4
KD건설(주),6.0,1,342.2,206.8,46.9,2.6,33.3,33.2,61.4,31.5,.2,2.2,2.3,.7,1.4,2.0,2.2
보령제약(주),4.0,0,134.0,96.4,103.7,22.9,13.1,10.1,20.2,1.9,-72.4,6.7,3.2,1.1,1.5,1.4,2.9
(주)금양,8.0,1,43.4,38.5,686.7,2.6,416.0,53.1,11.1,5.6,4.5,19.8,3.8,1.0,-14.3,-14.8,-68.9
(주)지에스리테일,4.0,0,73.8,58.0,75.9,5.3,21.7,9.2,-2.5,16.1,78.8,53.7,59.6,2.0,8.0,3.9,15.0
(주)한진칼,7.0,1,13.2,13.2,29.3,3.2,28.1,517.6,-.5,44.5,20.8,621.7,7.0,.0,-7.0,-189.5,-8.9
(주)우주일렉트로닉스,3.0,0,231.7,203.1,34.5,32.6,13.0,12.2,5.0,17.6,51.4,13.0,7.0,1.0,7.8,8.3,10.5
일진홀딩스(주),4.0,0,30.5,30.5,5.7,5.4,5.3,216.4,1.2,-.5,-42.0,126.2,8.3,.0,-.7,-44.3,-.7
(주)아이에이,6.0,1,124.9,97.4,58.6,2.1,41.4,32.5,54.2,-10.8,1041.8,20.2,7.3,.9,2.4,2.7,4.0
(주)풍산,4.0,0,144.3,72.0,89.8,7.3,61.6,39.2,4.5,-.3,142.6,4.2,4.8,.9,6.0,6.8,11.8
(주)에이치엘사이언스,3.0,0,986.5,914.3,8.8,621284.6,.7,.4,214.0,45.3,72.5,15.2,20.5,1.0,16.9,17.6,18.8
(주)네오오토,2.0,0,92.7,74.8,95.3,10.1,65.2,29.7,12.0,21.8,3.0,23.6,17.0,1.1,6.2,5.6,12.1
(주)중앙백신연구소,2.0,0,398.3,244.6,21.8,128.0,10.9,9.2,18.4,9.5,90.8,2.8,21.6,.6,9.2,16.4,10.8
(주)티비씨,2.0,0,983.3,983.3,8.4,814.0,4.8,5.5,2.2,-5.8,-24.9,102.6,3.4,.4,2.5,7.2,2.7
(주)크린앤사이언스,4.0,0,243.4,190.4,87.3,9.9,42.5,18.5,16.9,1.4,-.2,7.1,4.1,1.3,7.7,6.0,14.3
극동유화(주),2.0,0,263.9,223.0,32.1,69.2,7.3,5.1,3.0,-8.3,-4.8,12.5,4.9,1.3,7.7,6.0,10.5
대성에너지(주),5.0,0,97.1,95.9,112.9,7.1,29.4,12.4,-.8,-15.6,1.9,324.5,4.9,1.2,2.2,1.9,4.8
(주)사조대림,5.0,0,83.9,59.4,84.7,4.6,29.7,11.1,6.9,7.2,-98.3,15.3,13.1,1.4,.2,.2,.4
한국내화(주),5.0,0,100.8,60.6,90.3,3.6,38.3,16.3,2.2,-3.4,10.6,9.3,7.1,1.3,2.8,2.2,5.5
에이치엘비생명과학(주),7.0,1,310.4,310.4,70.5,-4.8,56.6,78.2,21.8,-35.4,-31.8,9.7,2.0,.3,-5.4,-20.6,-8.5
(주)삼익악기,6.0,1,79.9,66.2,64.8,1.0,49.4,55.7,-1.9,35.2,-41.8,12.1,5.8,.5,.3,.6,.5
(주)월덱스,6.0,1,81.7,58.6,108.2,2.0,89.5,99.9,2.4,3.9,-35.7,4.8,3.0,.5,.8,1.7,1.8
동아타이어공업(주),2.0,0,197.8,149.6,14.7,86.8,3.3,5.5,3.5,-9.4,-16.7,9.3,4.7,.5,3.5,6.5,4.0
한국정보통신(주),2.0,0,180.0,177.7,61.0,82.0,9.5,4.7,13.6,23.9,26.2,204.8,12.8,1.5,12.0,8.0,19.9
삼아알미늄(주),6.0,1,107.6,54.9,78.7,1.5,58.0,47.7,-.5,4.0,-56.1,4.0,4.8,.7,.5,.8,1.0
KB오토시스(주),3.0,0,167.8,135.1,67.0,17.0,39.1,21.3,15.1,29.8,37.2,12.3,3.4,1.1,9.8,8.7,16.3
(주)테크윙,5.0,0,149.7,102.2,121.4,11.0,101.6,76.2,23.8,-.5,-8.0,3.9,2.9,.6,6.4,11.2,13.9
태경산업(주),4.0,0,106.7,67.5,28.6,3.1,19.0,25.5,-5.0,27.1,-13.4,6.4,10.2,.7,3.7,5.5,5.0
엔에이치엔엔터테인먼트(주),2.0,0,244.9,244.9,9.1,-3.3,.2,8.8,.8,16.6,314.9,9.6,8.3,.1,8.8,66.2,9.6
에이피위성(주),3.0,0,1288.4,1171.4,6.6,118.2,10.5,10.8,104.2,-31.7,-32.4,5.8,3.5,.4,9.3,23.9,10.1
(주)지에스글로벌,6.0,1,122.0,104.8,182.8,3.1,86.7,14.9,37.7,10.9,-30.7,26.9,5.0,2.4,.5,.2,1.7
(주)아이디스홀딩스,3.0,0,62.0,62.0,11.5,20.1,7.1,128.4,-1.0,3.9,-46.2,1480.0,13.2,.1,1.6,27.7,1.7
성우테크론(주),5.0,0,116.8,116.8,64.7,9.0,39.4,49.4,11.2,8.5,7.5,109.0,7.2,.5,6.2,12.2,10.3
(주)육일씨엔에쓰,8.0,1,117.0,84.6,166.6,-10.3,84.2,47.4,23.6,-45.1,-24.0,5.6,7.3,.7,-8.8,-13.3,-19.2
선도전기(주),5.0,0,196.4,172.2,88.1,3.5,42.1,29.4,8.4,3.3,36.8,12.8,2.3,.7,1.5,2.1,2.7
(주)MH에탄올,2.0,0,248.1,175.6,13.9,28.4,8.7,24.7,-8.5,-3.0,5.0,10.7,4.7,.7,10.8,16.6,13.5
(주)삼표시멘트,6.0,1,107.1,83.8,96.8,2.1,67.3,61.6,9.0,9.3,-17.4,13.3,7.7,.6,4.0,7.3,7.9
제이엔케이히터(주),7.0,1,175.3,174.2,104.4,.8,71.7,42.4,9.2,-9.9,-1.7,47.8,2.5,.8,-3.8,-4.7,-8.1
(주)유니온,5.0,0,194.1,144.5,31.5,6.4,8.0,10.9,.2,-7.9,17.4,7.0,4.0,.6,.1,.2,.2
(주)웹젠,4.0,0,352.1,352.0,24.9,5779.3,17.9,54.6,10.3,-9.0,-21.0,12727.3,7.2,.7,15.1,20.9,19.5
코오롱인더스트리(주),2.0,0,91.8,52.6,124.7,5.0,82.3,42.7,4.5,-7.6,-1.5,5.5,6.2,.9,3.3,3.8,7.4
(주)정상제이엘에스,2.0,0,217.2,182.1,27.4,64.1,8.1,3.1,11.3,3.4,30.0,29.0,17.5,1.1,9.6,9.0,11.8
지니언스(주),4.0,0,449.6,436.2,34.9,19.6,2.5,6.0,11.5,33.2,6.5,14.0,3.6,.8,14.2,17.7,19.8
(주)행남생활건강,8.0,1,181.2,103.0,126.8,-3.5,101.8,69.4,9.2,-27.4,34.2,2.0,2.0,.5,-34.3,-64.8,-65.4
(주)일진파워,2.0,0,191.9,191.9,31.8,429.8,.6,.6,8.7,10.7,112.4,32.8,3.7,.9,8.4,9.8,10.9
(주)케이티씨에스,4.0,0,210.8,178.3,42.6,687.3,.1,.1,.2,-4.9,-.6,26.1,8.2,2.2,3.8,1.7,5.5
사조씨푸드(주),5.0,0,126.7,39.0,76.0,5.3,56.3,23.0,27.9,15.2,36.5,6.1,21.6,1.1,2.6,2.3,4.2
한화테크윈(주),6.0,1,134.1,93.3,114.7,3.9,52.1,31.0,16.0,6.6,90.9,5.2,5.6,.6,5.3,8.8,10.6
(주)팜스토리,6.0,1,92.4,71.4,142.0,2.7,112.6,54.9,-4.8,-5.2,411.0,8.6,6.1,.9,2.8,3.0,7.3
성우전자(주),3.0,0,806.6,794.5,9.7,5625.0,.3,.2,2.7,-13.6,42.4,52.7,8.1,1.1,8.0,7.6,8.9
한국제지(주),4.0,0,195.5,125.9,34.1,15.4,15.5,14.5,3.6,-.1,82.2,5.8,3.4,.8,2.2,2.7,3.0
(주)풀무원,4.0,0,42.0,41.9,35.1,8.1,29.9,127.1,2.5,6.6,-57.2,4737.3,12.7,.2,2.0,11.8,2.7
(주)한국카본,2.0,0,538.2,398.1,18.0,1749.7,.5,.5,11.6,5.7,-18.8,3.6,6.3,.7,4.4,6.4,5.2
(주)에스티큐브,6.0,1,317.4,315.4,38.5,3.9,13.1,13.4,78.3,224.8,269.9,99.8,15.7,.5,-14.8,-32.6,-18.8
(주)이엠텍,4.0,0,373.8,348.8,29.3,3.0,6.4,4.6,6.6,19.5,-52.3,27.1,3.4,1.1,5.4,5.0,6.9
주성엔지니어링(주),4.0,0,143.1,103.0,122.9,14.9,26.7,25.0,5.8,52.0,365.9,5.5,4.2,.8,9.7,11.5,23.5
씨제이이앤엠(주),6.0,1,92.7,92.6,67.3,3.9,33.7,26.1,8.3,2.3,-6.3,609.1,3.3,.6,.4,.6,.6
한미약품(주),7.0,1,129.3,105.4,151.5,-.5,56.4,47.1,-9.3,-38.2,-97.1,6.0,1.5,.5,.3,.6,.7
한화케미칼(주),5.0,0,87.3,65.7,73.2,6.9,42.7,54.8,5.1,6.5,1023.2,11.7,7.9,.5,4.9,10.1,8.6
(주)이상네트웍스,2.0,0,367.9,280.1,9.7,171.2,2.9,7.4,5.6,2.0,120.7,5.5,4.3,.5,5.7,12.3,6.3
(주)지에스이,3.0,0,73.2,72.6,145.7,10.5,50.4,27.1,3.2,-15.4,9.2,470.5,5.6,.8,4.3,5.4,10.7
(주)에프에스티,3.0,0,126.9,90.8,116.9,6.3,78.4,39.8,16.3,32.5,-41.5,9.7,8.8,.9,3.4,3.6,7.1
(주)레고켐바이오사이언스,7.0,1,327.2,326.8,48.1,-10.3,23.1,81.3,31.5,782.0,961.8,541.3,1.5,.2,-17.9,-89.7,-27.2
(주)화승알앤에이,5.0,0,56.9,49.3,148.4,1.7,86.9,39.2,11.6,11.7,-25.1,25.6,4.2,1.0,7.3,7.6,18.8
에스와이패널(주),7.0,1,83.1,72.7,242.9,3.6,141.0,26.9,21.3,9.8,-68.8,23.9,4.2,1.4,1.5,1.1,4.6
동양파일(주),2.0,0,226.0,218.2,31.4,32.9,17.4,38.9,15.7,4.6,15.0,41.9,3.7,.7,16.2,23.5,26.0
(주)바텍,4.0,0,153.8,116.1,87.4,10.7,43.9,48.2,18.4,3.2,-1.2,6.5,1.8,.6,5.7,10.3,10.6
(주)키위미디어그룹,6.0,1,785.2,774.6,32.9,-3.2,25.9,353.0,37.7,1.9,-18.1,9.8,7.0,.1,-11.8,-166.7,-16.7
(주)동성화학,5.0,0,143.0,128.9,54.0,11.1,21.6,16.8,14.0,-8.3,122.3,17.2,5.1,.8,7.9,9.3,12.0
(주)오공,3.0,0,125.2,98.9,71.9,5.8,47.8,47.1,.9,6.8,33.0,9.2,5.0,.6,4.6,7.2,8.1
(주)대우건설,8.0,1,96.2,82.0,365.1,-5.3,119.1,20.8,-2.0,11.5,-1.9,10.2,3.1,1.2,-8.1,-7.0,-32.0
(주)하이로닉,4.0,0,2583.7,2309.3,3.7,165.3,14.5,25.5,-1.5,-17.6,-49.4,4.2,11.9,.3,3.4,10.4,3.5
아이쓰리시스템(주),4.0,0,276.9,157.1,38.0,49.3,15.8,18.1,7.1,31.1,13.4,3.3,6.7,.7,9.9,14.4,13.8
명문제약(주),6.0,1,140.7,118.3,102.6,5.3,59.7,43.5,12.9,16.3,-10.4,7.5,1.9,.8,4.0,5.1,9.0
(주)로지시스,4.0,0,311.3,307.4,47.5,135.0,5.8,3.7,10.4,4.0,-3.4,177.2,9.4,1.6,2.5,1.6,3.6
유성기업(주),4.0,0,297.4,233.4,39.8,-10240.9,14.4,22.5,1.7,-3.8,52.6,9.4,5.5,.9,2.3,2.5,3.2
DSR제강(주),4.0,0,142.1,89.7,50.4,10.9,28.7,22.7,3.2,-5.6,-12.0,6.0,4.2,.9,4.6,5.0,7.1
(주)웰크론한텍,6.0,1,121.4,120.9,85.5,.4,18.2,11.1,15.8,3.1,-12.5,280.7,3.5,.9,-2.0,-2.2,-3.4
덕양산업(주),8.0,1,81.4,80.1,485.8,-3.8,110.6,7.7,-.1,.9,52.2,307.1,6.9,2.5,-.9,-.4,-4.9
(주)현대그린푸드,2.0,0,269.5,227.0,23.2,118.2,4.1,5.8,.1,5.3,-.5,20.4,12.1,1.0,3.8,3.7,4.7
(주)디앤씨미디어,3.0,0,340.7,330.3,42.3,944.2,1.1,.5,55.4,31.5,41.9,71.0,8.9,2.4,38.1,15.9,57.8
현대종합상사(주),6.0,1,102.3,84.5,202.1,2.0,93.3,12.4,-3.1,-24.0,-94.1,17.2,5.3,2.1,.7,.3,1.9
케이디켐(주),3.0,0,933.3,713.2,11.0,122.9,3.3,4.2,6.8,4.1,8.8,4.4,3.7,.7,9.7,13.9,10.8
진양화학(주),3.0,0,158.6,130.3,41.4,1196.5,.2,.1,1.7,-18.6,-48.9,20.9,7.0,1.3,3.1,2.3,4.3
(주)예스코,5.0,0,142.4,142.1,84.0,7.5,20.7,9.6,9.2,-15.6,85.0,1065.1,4.9,.8,2.1,2.5,3.7
(주)웰크론강원,4.0,0,291.7,289.8,31.8,-166.2,19.0,20.4,-12.5,-9.0,14.5,56.7,2.0,.6,-1.0,-1.7,-1.4
(주)윌비스,6.0,1,114.2,92.1,73.0,.5,46.7,25.2,10.7,1.7,-7.3,14.1,4.9,1.0,.2,.2,.3
(주)아이콘트롤스,4.0,0,238.8,238.8,39.3,482.2,3.2,.8,6.1,8.8,16.8,239.5,3.3,.9,4.8,5.3,6.6
옵티시스(주),3.0,0,455.9,388.5,19.3,14.8,10.4,21.6,4.5,7.9,8.0,4.4,7.1,.5,6.3,13.6,7.6
인터지스(주),6.0,1,92.7,91.5,145.3,1.4,89.1,40.9,-1.9,-22.6,-9.0,139.4,3.3,.9,1.9,2.1,4.7
동원수산(주),6.0,1,219.1,97.6,170.4,.6,133.5,43.1,.6,-9.2,303.0,4.2,20.1,1.1,1.2,1.1,3.3
(주)한독,6.0,1,122.3,84.9,99.0,1.9,52.7,33.0,17.7,10.5,81.9,6.3,3.1,.7,.7,1.0,1.2
(주)에코프로,4.0,0,154.8,109.6,32.4,.2,23.3,91.6,-12.5,-32.0,4690.7,3.3,4.6,.4,4.4,12.5,7.3
(주)방림,3.0,0,399.5,347.6,21.6,15.8,12.1,21.4,-.2,-7.9,-27.8,5.3,3.4,.5,2.2,4.2,2.7
(주)톱텍,5.0,0,146.5,111.8,140.2,69.6,20.0,7.0,129.0,69.3,157.8,7.7,5.2,1.2,9.7,8.4,19.0
(주)백광소재,6.0,1,89.2,68.7,85.6,4.1,52.9,34.7,13.7,17.2,19.0,13.3,4.6,.7,1.7,2.5,2.9
삼성바이오로직스(주),9.0,1,59.0,52.4,84.5,-1.6,20.7,260.5,26.4,222.8,-8.6,2.1,5.8,.0,-2.6,-60.0,-5.2
크로바하이텍(주),6.0,1,118.5,88.1,83.2,2.2,56.5,40.1,-5.5,1.5,-3.1,6.5,3.6,.8,-1.7,-2.0,-3.1
(주)신진에스엠,3.0,0,346.9,224.7,20.3,18.4,14.6,26.3,-7.1,-27.0,-77.8,3.2,3.3,.5,1.3,2.7,1.6
(주)세이브존아이앤씨,2.0,0,93.5,90.6,51.6,16.2,19.8,45.4,4.9,-2.2,6.8,46.5,36.9,.3,5.1,15.4,7.8
(주)코리아나화장품,3.0,0,189.4,114.6,43.3,7.6,13.9,10.8,-2.8,-11.0,-37.0,9.1,7.5,1.0,3.4,3.4,5.0
(주)에스제이엠,3.0,0,414.0,325.1,18.2,179.7,6.4,5.8,10.3,.7,107.9,5.3,3.0,.7,10.0,15.3,11.9
(주)포스코엠텍,6.0,1,138.7,123.2,95.8,9.2,49.4,21.7,-18.3,-24.5,-90.8,18.4,5.5,1.6,1.5,1.0,3.2
(주)네이처셀,7.0,1,154.0,104.7,54.8,-7.9,25.1,28.6,14.6,-12.3,-31.3,5.3,5.9,.5,-6.5,-12.0,-9.8
삼광글라스(주),7.0,1,67.3,31.6,165.1,.3,142.6,122.5,-1.2,-6.2,-1.3,2.3,4.0,.4,-.3,-.7,-.8
(주)이마트,2.0,0,34.7,12.5,78.2,6.7,42.7,29.5,4.3,4.3,-21.4,16.8,64.6,.9,2.8,3.3,5.2
동양철관(주),7.0,1,86.1,57.0,83.6,-6.4,48.2,43.1,-10.5,-27.8,-55.4,6.2,3.0,.7,-10.0,-15.3,-18.4
(주)이미지스테크놀로지,2.0,0,909.9,711.5,10.2,215.1,2.2,2.2,1.2,-7.3,-11.5,4.9,21.4,1.2,3.9,3.2,4.4
삼천당제약(주),2.0,0,305.5,228.3,25.3,177.0,4.4,3.4,9.0,11.0,-40.0,7.3,4.6,.8,3.8,4.6,4.7
(주)트러스와이제7호위탁관리부동산투자회사,7.0,1,149.3,149.3,137.4,.9,127.4,1824.8,-1.5,-10.0,9.1,566.1,71.0,.0,-.1,-4.2,-.3
(주)주연테크,6.0,1,250.4,212.0,52.6,2.8,33.1,10.9,75.8,-4.5,345.7,8.4,20.4,1.3,2.3,1.8,3.5
동국제강(주),7.0,1,61.5,44.2,135.9,1.9,95.9,61.0,-5.2,-.6,224.5,9.5,5.1,.7,.8,1.1,1.9
(주)갤럭시아에스엠,5.0,0,340.4,340.4,24.5,-18.6,3.6,1.8,-15.8,-15.1,-2.9,69.2,7.1,.8,-2.6,-3.4,-3.3
(주)고려시멘트,4.0,0,200.7,182.3,47.9,859.4,34.5,.8,521.6,254.3,4244.7,53.6,6.1,1.6,14.8,9.1,20.9
(주)이스트소프트,5.0,0,430.6,430.6,116.2,-4.5,75.3,120.2,5.5,-21.9,63.9,11.3,3.0,.3,-6.4,-25.7,-12.6
(주)일야,4.0,0,111.9,102.3,57.8,34.6,16.9,6.2,8.3,12.7,-26.9,73.2,23.1,1.9,5.3,2.8,8.2
(주)선광,2.0,0,64.0,63.2,21.2,446.7,11.3,31.2,-14.7,5.3,51.5,252.6,5.3,.2,4.7,24.2,6.4
(주)TCC동양,6.0,1,125.1,67.2,170.9,2.4,114.4,41.3,-24.1,-9.5,75.1,7.0,7.0,1.1,5.3,4.9,18.3
한국특수형강(주),7.0,1,426.4,219.4,504.3,-.8,461.7,110.7,-6.5,-11.8,17.2,3.7,7.4,.7,1.1,1.6,8.3
(주)이노션,5.0,0,223.9,223.9,62.3,967.7,1.7,.8,2.6,.2,-18.3,16.8,1.2,.5,4.7,10.6,7.8
(주)동양에스텍,6.0,1,97.9,76.5,101.1,2.9,65.5,22.2,14.1,8.5,1040.7,13.2,3.2,1.4,4.6,3.3,9.1
대봉엘에스(주),1.0,0,657.5,506.4,14.7,364.2,1.1,.9,13.7,18.6,27.9,6.4,3.0,1.1,11.7,10.9,13.4
에이피에스홀딩스(주),6.0,1,121.1,111.2,153.1,33.1,49.9,20.1,97.3,85.1,198.0,16.0,3.9,1.3,7.2,5.5,18.0
(주)한창제지,5.0,0,201.3,144.3,160.0,5.7,95.0,31.0,5.4,10.0,375.3,7.8,6.7,1.3,10.9,8.3,31.8
(주)씨젠,3.0,0,2247.5,2089.4,37.6,5.7,30.2,75.4,5.9,8.0,-7.4,5.5,.8,.3,4.5,15.2,6.1
(주)웅진씽크빅,5.0,0,161.8,144.9,81.8,10.3,39.9,18.0,2.9,-4.2,91.3,15.8,4.1,1.2,4.7,3.8,8.8
(주)마니커,7.0,1,57.0,45.0,94.3,-1.1,68.1,34.8,-8.7,-21.9,-18.2,19.9,8.6,1.2,1.0,.9,2.2
고려산업(주),2.0,0,114.8,94.5,94.3,5.7,62.9,30.3,1.0,-9.0,1.7,10.6,5.5,1.1,3.3,3.0,6.6
현대엘리베이터(주),5.0,0,157.3,154.2,83.4,9.2,26.5,16.6,.4,12.8,16.9,100.8,4.1,1.0,4.6,4.5,8.9
한국선재(주),5.0,0,138.4,78.6,88.3,4.6,75.8,36.7,12.7,7.6,-49.5,4.9,5.3,1.0,1.7,1.7,3.0
해태제과식품(주),5.0,0,58.2,45.4,172.7,3.2,91.7,38.0,6.4,-.7,87.9,17.4,6.4,1.0,3.3,3.2,11.0
(주)미코,7.0,1,114.7,74.6,79.9,1.2,53.3,54.7,-1.8,13.7,-24.5,5.5,6.5,.6,-1.8,-3.0,-3.2
(주)케이씨텍,2.0,0,307.9,273.9,23.9,223.4,3.7,3.0,8.1,8.1,10.9,16.1,3.6,.9,12.0,13.0,14.9
(주)휴비츠,4.0,0,142.4,105.4,77.0,218.1,56.9,56.0,19.5,3.1,120.0,6.2,4.7,.5,9.2,17.2,15.9
(주)금비,4.0,0,83.0,60.0,93.5,5.8,56.4,42.7,9.2,7.2,114.1,10.5,4.8,.7,4.1,6.0,7.7
현대EP(주),5.0,0,121.5,87.2,117.9,9.2,66.6,22.1,2.4,-1.1,14.9,9.8,4.2,1.5,7.4,4.9,17.0
(주)제이스텍,6.0,1,113.8,112.4,161.8,36.0,28.4,11.3,97.1,115.4,155.0,157.9,4.6,1.4,10.6,7.9,23.3
SBI핀테크솔루션즈(주),5.0,0,195.3,195.3,59.1,28.8,44.7,33.4,10.1,2.8,-28.3,17.7,17.8,.6,3.9,6.7,5.4
태림포장(주),7.0,1,72.2,65.5,119.9,4.8,66.7,51.0,36.3,1.3,-75.3,21.4,4.2,.6,.5,1.0,1.0
영신금속공업(주),6.0,1,57.4,35.7,223.5,1.7,149.2,44.7,10.0,5.0,3.4,9.5,6.9,1.0,2.4,2.4,7.7
(주)바이로메드,4.0,0,17166.1,17101.6,3.2,97.4,2.1,41.4,222.3,-11.1,114.0,11.9,1.1,.1,.4,8.0,.4
(주)파이오링크,4.0,0,669.0,605.6,27.7,7507.0,.4,.3,-10.0,34.9,-12.8,6.5,4.1,.6,-5.9,-10.0,-7.5
에스케이머티리얼즈(주),3.0,0,100.9,58.6,62.7,19.5,40.0,41.4,25.4,19.8,48.6,6.6,8.3,.5,14.2,26.5,22.3
(주)모토닉,3.0,0,1214.8,1161.0,9.6,182.7,10.5,10.8,1.2,-4.6,39.0,12.2,10.2,.4,3.9,9.1,4.3
(주)인포마크,5.0,0,173.5,54.7,63.2,5.2,42.6,20.5,3.9,22.0,20.8,3.0,13.3,1.4,2.4,1.7,3.9
(주)한컴MDS,3.0,0,292.1,266.1,36.7,1760.6,.6,.2,4.6,21.2,-19.3,18.8,3.5,1.0,6.1,6.4,8.0
디젠스(주),6.0,1,74.2,61.9,155.9,1.5,93.8,58.3,1.5,-3.3,56.1,10.3,3.4,.7,1.8,2.6,4.8
현대모비스(주),2.0,0,258.4,234.5,23.2,199.5,3.4,3.1,8.4,4.1,19.2,20.4,5.4,.8,8.6,10.3,10.6
(주)오이솔루션,6.0,1,176.6,116.9,66.5,11.9,37.3,20.7,21.2,34.1,235.5,5.2,4.5,1.0,7.3,7.5,11.7
(주)부스타,2.0,0,300.0,267.0,25.7,1175.0,1.7,.8,9.4,12.0,25.1,16.5,4.8,1.1,7.9,7.3,9.9
(주)케이에스에스해운,6.0,1,36.1,32.2,174.4,3.3,164.2,246.0,18.5,-1.8,-43.6,43.1,17.8,.2,2.2,9.3,5.8
(주)케이씨피드,5.0,0,141.4,121.2,70.0,8.0,57.2,42.3,10.5,-4.5,13.9,8.9,3.7,.8,1.2,1.4,2.0
(주)서원,8.0,1,86.3,58.8,143.7,1.9,134.0,62.7,-9.2,-1.1,58.8,6.5,5.7,1.0,1.0,1.1,3.1
(주)힘스,5.0,0,148.0,94.5,117.4,14.9,19.2,12.1,96.9,104.7,189.7,7.3,7.7,1.4,13.6,9.7,28.6
(주)토비스,5.0,0,161.4,105.6,73.6,36.8,23.3,6.4,30.1,-1.7,-31.4,8.6,6.0,1.9,7.2,3.8,11.4
코웰패션(주),5.0,0,177.4,138.5,46.9,29.0,29.7,27.4,9.1,16.6,111.7,6.3,7.8,.8,10.7,13.6,16.0
(주)케이씨아이,3.0,0,228.4,109.4,28.5,48.0,18.4,18.5,8.6,14.6,23.3,3.5,5.5,.8,11.6,15.2,14.8
(주)심텍,6.0,1,64.4,37.1,286.6,1.8,120.6,23.7,7.8,98.2,-33.6,9.0,12.1,1.3,.8,.6,3.2
코오롱패션머티리얼(주),6.0,1,141.3,64.7,55.3,-1.2,21.3,14.2,-5.1,-9.1,-19.4,4.6,5.8,1.2,.8,.7,1.3
대동기어(주),7.0,1,98.7,49.6,175.1,-1.5,100.1,59.5,-1.2,-19.1,64.3,3.5,3.8,.6,-1.9,-3.3,-5.0
한국맥널티(주),3.0,0,283.7,246.9,36.7,25.7,18.7,15.4,7.3,19.8,19.1,12.6,9.0,.9,7.6,8.5,10.4
(주)셀바스헬스케어,6.0,1,410.0,255.1,67.8,-15.2,50.9,77.7,-4.6,12.0,95.0,3.2,2.7,.4,-33.4,-75.9,-66.4
(주)국보디자인,4.0,0,179.7,179.7,87.9,565.1,2.7,.5,16.9,21.5,71.4,555.3,6.5,1.4,8.5,6.2,15.3
케이맥(주),6.0,1,205.4,190.9,82.1,12.5,42.0,30.0,41.8,105.6,213.9,21.7,2.5,1.0,9.5,9.7,17.9
(주)코렌,9.0,1,43.2,31.0,438.0,-3.6,282.9,63.1,-15.7,5.9,20.8,7.9,6.9,.9,-19.2,-21.9,-96.8
(주)엔케이,7.0,1,69.9,49.4,70.6,-7.8,46.7,47.2,-18.1,-33.2,-39.3,5.8,3.7,.6,-12.2,-19.8,-20.7
(주)오스코텍,6.0,1,136.6,125.7,40.6,-1.2,35.7,220.9,-2.5,-27.1,927.8,5.1,1.4,.1,-1.6,-13.1,-2.4
(주)아리온테크놀로지,7.0,1,113.8,81.5,115.7,-21.6,82.1,47.2,33.2,-52.0,-14.7,4.5,2.9,.7,-21.4,-31.9,-42.5
제일제강공업(주),6.0,1,97.7,80.4,64.8,.3,46.8,94.6,-11.4,-17.2,-1.4,5.8,5.8,.4,-1.1,-2.9,-2.0
(주)하이비젼시스템,3.0,0,382.7,320.6,24.8,155.4,5.6,.4,11.9,-11.7,-63.9,7.3,3.1,.8,3.6,4.4,4.4
(주)중앙오션,5.0,0,35.5,30.5,118.9,2.5,107.6,121.7,-.3,9.7,-71.4,49.3,26.4,.4,2.2,5.3,4.9
(주)코리아써키트,4.0,0,181.9,127.8,33.6,10.5,10.3,7.6,3.6,-1.3,-67.3,10.3,7.2,1.0,2.1,2.0,2.7
(주)동부,6.0,1,124.9,113.3,41.9,4.7,15.9,16.3,-22.1,.5,-7.3,60.1,5.9,.8,-8.4,-10.1,-13.1
남양유업(주),3.0,0,404.7,314.7,16.8,124.7,8.0,9.2,4.1,1.0,32.9,8.5,8.0,1.2,3.3,2.7,3.8
